ID,Name,Latitude,Longitude,Photo_Name,Photo_Path,State,County,NBI_Structure_Number,Year_Built_Text,Year_Rehabilitated_Text,Year_Built,Year_Demolished,Type,Subtype,Recognition,Length_Main_Span_Total,Builder_Contractor,Year_Photographed,Notes,,
2122,Alewife Station Access Road Underpass,42.396892,-71.141109,MAMI_US2OverAlewifeStationAccessRd.jpg,ma/middlesex/,Massachusetts,Middlesex,C010214DGMDCNBI,1984,,1984,,Arch,Closed spandrel prestressed elliptical concrete arch,,30,,2007,"In 1985, the Alewife Station opened as the terminus of the Red Line. The northern end of the station was the right-of-way from the Fitchburg Cutoff or B&M Freight Cutoff Railroad. It is now used by the Alewife Station Access Road as well as the Fitchburg Cutoff Path and the Cambridge Linear Park. As part of the station's development, the MA 2 / US 3 bridge over the right-of-way was replaced by the current non-historic prestressed arch.",,
2213,Alfred Zampa Memorial Bridge,38.061,-122.226355,CACC_AlfredZampaMemBrCarquinezStrait.jpg,ca/contra_costa/,Pennsylvania,"Contra Costa, Solano",28+0352L,2003,,2003,,Suspension,Cable suspension,"Second newest Suspension Bridge in America, only major suspension bridge in America with no stiffening truss",2388 / 3465,"FCI Constructors / Cleveland Bridge California (Contractors), Ishikawajima Harima Heavy Industries (Fabrication of the roadway)",2007,The Alfred Zampa Memorial Bridge is named after an ironworker who worked on many San Francisco Bay Area bridges. The bridge is America's first new major suspension bridge built in over 20 years!,,
1371,Allegheny Avenue Bridge,41.508272,-78.221551,PACM_PA120SinnemahoningPortageCr.jpg,pa/cameron/,Pennsylvania,Cameron,120120026005420,1933,,1933,,Pony Truss,Parker riveted,Only active pony truss bridge in Cameron County,116,Pennsylvania Department of Highways,2008,"The Allegheny Avenue Bridge is Cameron County's only state standard Parker pony truss. The bridge retains historical integrity complete with its original lattice railings. According to the PAHBI (evaluation by JPH), 'The 1933, single span, 116'-long, rivet-connected Parker pony truss bridge is supported on concrete abutments with wingwalls. The upper chords are built up box sections, the lower chords are channels with battens, and the verticals and diagonals are rolled sections. The bridge is an example of a state highway department standard design rivet-connected truss bridge.'",,
3188,Allegheny Ludlum Bridge (Mill Bridge),40.634318,-79.608983,PAWE_MillBrKiskiminetasR.jpg,pa/westmoreland/,Pennsylvania,Armstrong,647432010330050,1938,1992,1938,,Thru Truss,Pratt riveted,Only Pratt truss bridge over the Kiskiminetas River,149 / 704,Pennsylvania Department of Highways,2001,"According to the PAHBI (MEM Reviewer), ''The skewed, 6 span, 704' long bridge consists of 4, riveted, 149' long Pratt thru truss spans over the river and a steel stringer span at each end (1 @ 60', 1 @ 26'). The substructure consists of ashlar abutments and piers with concrete caps. The piers have been repaired with concrete on their upstream side. The upper chord and inclined end posts are built up box sections, and the verticals and diagonals are rolled section. The bridge has no innovative or distinctive details. It was built to a state standard design in 1939.''",,
2620,Allegheny River Trail Mill Creek Bridge,41.22463,-79.723258,PAVE_AlleghenyRTrailMillCr.jpg,pa/venango/,Pennsylvania,Venango,,ca. 1915,,1915,,Arch,Closed spandrel semicircular concrete arch,,,,2007,The Allegheny River Trail Mill Creek Bridge was constructed for the Allegheny Valley Railroad around 1915. Around 2000 it was converted to carry the Allegheny River Trail.,,
2621,Allegheny River Trail Spur Mill Creek Bridge,41.224858,-79.722633,PAVE_AlleghenyRTrailSpurMillCr.jpg,pa/venango/,Pennsylvania,Venango,,ca. 1870,,1870,,Arch,Closed spandrel semicircular stone arch,,,,2007,"The stone arch bridge was constructed for a railroad in the Allegheny Valley in likely the late 1800's. Long abandoned, the bridge is used to connect Dotter Road with the Allegheny River Trail. The bridge could either be on an old alignment of the Allegheny Valley Railroad or could have been on a competitor's alignment.",,
2826,Allegheny Street Bridge,40.42783,-78.39722,PABL_AlleghenyStBBJuniataR.jpg,pa/blair/,Pennsylvania,Blair,077403801230830,1911,,1911,,Arch,Closed spandrel concrete arch,Eligible for the National Register of Historic Places,107,"H. G. Hinkle (Engineer), Augustus Fogle & Company (Contractor)",2007,"According to the PAHBI, ''The one span, 107'-long, reinforced concrete deck arch bridge built in 1911 is supported on concrete abutments with flared wingwalls and finished with incised panel concrete parapets. The bridge is one of 13 surviving reinforced concrete deck arch bridges designed by the Blair County engineer between 1908 and 1913.'' The PAHBI determines the bridge to be historically significant because it is a ''wide longer example for date by local engineers outside of major contemporary concentration of reinforced concrete bridges.''",,
3232,Allison Avenue Overpass,40.18133,-80.26152,PAWA_AllisonAveOverI-70Ramps.jpg,pa/washington/,Pennsylvania,Washington,624032001000000,1960,,1960,,Frame,Arched concrete rigid frame,,47,Pennsylvania Department of Highways,2011,The Allison Avenue Overpass is the only rigid frame overpass built for I-70 (except for the bridges of the Pennsylvania Turnpike).,,
3233,Almond Road Bridge,40.10997,-80.02195,PAWA_AlmondRdPigeonCr.jpg,pa/washington/,Pennsylvania,Washington,622019001009220,1920,,1920,,Arch,Closed spandrel elliptical concrete arch,,54,"Chaney & Armstrong, Engineers, Hardy & Rankin, Contractor",2010,"According to the Pennsylvania Historic Bridge Inventory, ''The skewed, 60'-long and 27' wide, reinforced concrete deck arch bridge built in 1921 is one of over 15 similar deck arch bridges in Washington County designed by the Chaney & Armstrong, Engineers, later styled as Chaney Engineering Company, in the 1910s and 1920s for the county. Most, like this example, are finished with incised panel parapets topped with beveled coping and plain spandrel walls and incised panels on the spandrel walls.''",,
3606,Ambridge-Woodlawn Bridge (Ambridge-Aliquippa Bridge),40.592256,-80.236743,PABC_Ambridge.jpg,pa/beaver/,Pennsylvania,Beaver,047402000040010,1926,2000,1926,,Thru Truss,Cantilever,Possibly Eligible for the National Register of Historic Places,530 / 1995,"T. J. Wilkerson, Beaver County Engineer; American Bridge Company; The Dravo Contracting Company; Purdy & Sanders",2009,"Ambridge, Pennsylvania, was the company town for the American Bridge Company. Across the Ohio River was Woodlawn, a town eclipsed by the expansion of the Aliquippa Works of the Jones & Laughlin Steel Company. As the area grew and prospered, it became apparent that a bridge was needed. In 1926, the Ambridge-Woodlawn Bridge opened. The superstructure was built by the American Bridge Company, which was fitting since the bridge connected the company town to the J&L steel mill. Supposedly it was one of the easiest bridges to build, since it connected a steel mill with a bridge fabrication company. The substructure was built by Dravo Contracting. American Bridge built some of the largest bridges throughout the world, such as the New River Gorge Bridge in West Virginia and the East Bay Spans (both the original and the replacement) of the San Francisco Oakland Bay Bridge. The Ambridge-Aliquippa Bridge, as it is now called, is one of the oldest surviving truss bridges over the Ohio River. It is also the only cantilever with four towers in Pennsylvania. It is the only one with four towers over the Ohio River upstream of Louisville, Kentucky. As such, the spans between the first and second towers and between the third and fourth act as anchor spans, giving the bridge three suspended spans (at the center and at the ends of the bridge). While the bridge was to be replaced as part of the now-cancelled Crows Run expressway, a much needed northern beltway to Pittsburgh, it is now scheduled to be rehabilitated. As part of the project, the bridge will be repainted gray.",,
606,Anderson Memorial Bridge,42.369028,-71.123101,MAMI_AndersonMemBrHarvardStCharlesR.jpg,ma/middlesex/,Texas,"Middlesex, Suffolk",B160114F2MDCNBI,1912,,1912,,Arch,Closed spandrel concrete segmental arch,Listed on the National Register of Historic Places,77 / 232,"Wheelwright, Haven and Hoyt (Designer), John R. Rablin (Chief Engineer), Massachusetts Metropolitan District Commission",2008,"In 1662, the first bridge to span the Charles River, the Great Bridge, was constructed at this location. It was replaced in 1862 and again in 1915 by the current bridge. The 1915 bridge was made possible by the gift of Larz Anderson to be a memorial to his father, Nicholas Longworth Anderson, who was a general in the United States Army and a Civil War veteran. Though the Anderson Memorial Bridge is constructed from reinforced concrete, it was styled to match the buildings of Harvard University. The spandrel walls are finished to resemble rough-hewn stone, and the arch rings and piers are accented by brick. The parapets are paneled. The bridge once had gilded street lights. A plaque on the Cambridge side reads, ''Connecting the College Yard and playing fields of Harvard, be an ever present reminder to students passing over it of loyalty to country and Alma Mater.''",,
2578,Anderson Road Bridge,41.116545,-79.196148,PAJE_AndersonRdRunAwayRun.jpg,pa/jefferson/,Pennsylvania,Jefferson,337408004000010,1911,,1911,,Arch,Closed spandrel concrete segmental arch,,39,,2010,"The Anderson Road Bridge is a closed spandrel arch with its build date, 1911, inscribed in the side of the spandrel wall. According to the PAHBI, ''The one span, 45' long reinforced concrete deck arch bridge built in 1911 is finished with concrete parapets with incised panels. The parapets continue across the flared wingwalls to define the approaches.''",,
3339,Andy Warhol Bridge (Seventh Street Bridge),40.446,-80.00141,PAAP_SeventhStAlleghenyR.jpg,pa/allegheny/pittsburgh/,Pennsylvania,Allegheny,027301000020130,1926,1993,1926,,Suspension,Self-anchored; eyebar chain,,442 / 1061,"Allegheny County, Vernon Covell, American Bridge",2001,"The Seventh Street (Andy Warhol Bridge) is one of the ''Three Sisters Bridges,'' which are three self-anchored suspension bridges side by side by side over the Allegheny River connecting downtown Pittsburgh with the North Shore. The Seventh Street Bridge is 66 feet longer than the other two. The three previous bridges were replaced at the same time due to navigational clearance requirements. The Pittsburgh Art Commission mandated suspension bridges for the replacement structures. Since the foundations were unsuitable for conventional anchorages and an elevated railroad was located along the Allegheny River on the Pittsburgh side, the self-anchored design was used. This was the first time the self-anchored design was used in the United States. The Seventh Street Bridge was renamed after Andy Warhol, a famous pop artist from Pittsburgh. The Andy Warhol Museum is near the northern end of the bridge.",,
592,Ann W. Richards Congress Avenue Bridge,30.261931,-97.745112,TXTR_CongressAveBrColoradoR.jpg,tx/travis/,Texas,Travis,142270B00425007,1910,1980,1910,,Arch,Concrete adjacent box beam over decorative open spandrel concrete barrel arches,Austin Landmark,120 / 945,,2008,"Congress Avenue is the main north-south road in Austin, going straight to Texas's capital. It is not often when three bridges built at the same location on such an important route still survive. Well, sort of. In 1884, a iron six-span iron Whipple truss bridge was constructed at this location. Though the bridge was dismantled in 1910, half of it was re-erected over Onion Creek at Moore's Crossing in 1915. A flood destroyed those spans the same year. The remaining three spans were re-erected at that location in 1922, and they are still standing. The replacement Congress Avenue Bridge, completed in 1910, is an example of an open spandrel barrel arch. The barrel arch (solid arch) is much less common than the ribbed arch. In 1980, the bridge was reconstructed in which the piers were enlarged and the deck was removed. Load-bearing concrete box beams were installed from pier-to-pier over the arches. In other words, the Congress Avenue Bridge is a 1980's beam bridge built over the now-decorative 1910 bridge. If you visit the bridge, note the gap between the top of the arches and the beams. Building a new solid bridge over the old solid barrel arches also created an unintended consequence: the creation of an ideal bat roost. The Congress Avenue Bat Colony is home to up to 1.5 million migratory Mexican free-tailed bats. Viewing the bats emerging from the bridge at night is one of the most popular Austin tourist attractions.",,
2104,Antioch Bridge (Senator John A. Nejedly Bridge),38.025309,-121.751518,CACC_AntiochBridge.jpg,ca/contra_costa/,Pennsylvania,"Contra Costa, Sacramento",28+0009,1978,,1978,,Beam,Weathering steel deck girder,,9504,,2008,"The Antioch Bridge replaced a vertical lift bridge that was plagued with problems. In 1970, a collision resulted in the lift span being stuck open for three days. The bridge tender was stuck in the control room and was rescued after three days.",,
3189,Apollo Bridge,40.580479,-79.568744,PAWE_NewApolloKiskiminetasR.jpg,pa/westmoreland/,Pennsylvania,Armstrong,640066043021490,2004,,2004,,Beam,Prestressed concrete,,148 / 701,,2004,"This bridge replaced the former Apollo Bridge, a pony truss visible in the background of the photo. The photograph was taken before the new bridge was open to traffic.",,
3190,Apollo Bridge (Demolished),40.58023,-79.568535,PAWE_OldApollo.jpg,pa/westmoreland/,Pennsylvania,Armstrong,640066043020850,1937,1978,1937,2004,Pony Truss,Parker riveted,,115 (est.) / 704,Pennsylvania Department of Highways,1997,"According to the PAHBI (MEM Reviewer), ''The 6 span, 704' long and 24' wide riveted, Warren with a polygonal top chord pony truss bridge is supported on ashlar abutments and piers with concrete caps. The top chords and inclined end posts are built-up box sections, and the diagonals, floorbeams, stringers and lower chords are rolled beams. The deck is steel open grid, and the lattice railings appear original. The bridge was built as part of the rebuilding effort following the devastating 1936 St. Patrick's Day flood when over 275 bridges, mostly in the western and central portions of Pennsylvania, were destroyed or damaged beyond repair. It is an example of a state standard design, and it has no innovative or distinctive details.''",,
3234,Apple Gate Bridge,40.204108,-80.518493,PAWA_TR649AppleGateBrSugarcampRun.jpg,pa/washington/,Pennsylvania,Washington,627214064940010,1911,,1911,,Pony Truss,Warren riveted,,49,,2007,"The Apple Gate Bridge is a small 49-foot Warren truss just over the West Virginia line in Pennsylvania. It is one of the shortest Warren truss bridges on this entire website. Although the bridge company is not documented, the bridge looks similar to bridges by either the Penn Bridge Company, the York Bridge Company, or the Nelson & Buchanan Company.",,
906,Arch Street Bridge (DuBoistown Bridge),41.225667,-77.043686,PALY_ArchStWBSusquehannaR.jpg,pa/lycoming/,Pennsylvania,Lycoming,412064001000000,1922,1985,1922,,Thru Truss,Camelback riveted,Last truss bridge with more than two spans over the West Branch Susquehanna River Bridge,199 / 1407,"Lycoming County, Mark Krause, Co. (Engineer), Bethlehem Steel Co. (Contractor)",2007,"In the mid 1900's, there were many long multi-span truss bridges over the West Branch Susquehanna River. One by one, all but the Arch Street Bridge were torn down. As of 2009, the bridge stands as the last remaining truss bridge with more than two spans over the entire West Branch! There are 7 spans in all, one of fewer than 10 truss bridges in the state with 5 or more truss spans. Unfortunately, the bridge won't be the last remaining example for long. It is to be torn down as early as in 2011. The Arch Street Bridge is a rare example of a camelback truss. A camelback is distinctive since the top chord is divided into 5 distinct segments. There are no other Camelback truss bridges in Lycoming County or on the Susquehanna River in Pennsylvania. The Arch Street Bridge also retains historic integrity, including its original railings and decorative concrete approach portals (see the Flickr link for photos).",,
3340,Ardmore Boulevard Bridge (Eastbound),40.406597,-79.84061,PAAM_ArdmoreBlvdOverElectricAve.jpg,pa/allegheny/monongahela/,Pennsylvania,Allegheny,020030023000000,1932,1971,1932,,Beam,Deck girder on trussed bents,,62 / 410 (WB); 54 / 317 (EB),PA Department of Highways,2007,The bridge was built as part of the 1932 US 30 (Lincoln Highway) bypass of the Turtle Creek Valley. The bridge carries the bypass over Electric Avenue (Old US 30) at the foot of the climb to the George Westinghouse Bridge. The bridge is an example of a deck girder on trussed bents.,,
3340,Ardmore Boulevard Bridge (Westbound),40.406597,-79.84061,PAAM_ArdmoreBlvdOverElectricAve.jpg,pa/allegheny/monongahela/,Pennsylvania,Allegheny,020030023000000,1932,1971,1932,,Beam,Deck girder on trussed bents,,62 / 410 (WB); 54 / 317 (EB),PA Department of Highways,2007,The bridge was built as part of the 1932 US 30 (Lincoln Highway) bypass of the Turtle Creek Valley. The bridge carries the bypass over Electric Avenue (Old US 30) at the foot of the climb to the George Westinghouse Bridge. The bridge is an example of a deck girder on trussed bents.,,
2740,Arroyo Road Bridge,41.390554,-78.880763,PAEL_ArroyoRoadBr.jpg,pa/elk/,Pennsylvania,Elk,247210031400100,1901,,1901,2004,Thru Truss,Pratt pin-connected with a Pratt pin-connected half-hip pony approach span,Eligible for the National Register of Historic Places,110 est. / 281,Nelson and Buchanan Company,2003,"According to the PAHBI, ''The pin connected, 3 span, 281'-long bridge consists of 2 Pratt thru truss spans over the channel and a single half-hip Pratt pony truss approach span. The bridge is supported on ashlar piers and abutments. The structure is historically and technologically significant as a complete example of an increasingly rare bridge type and design. Adding to its significance is its documentation to the Pittsburgh Bridge Company and its agents, Nelson & Buchanan Company, regionally prominent and prolific fabricators of highway bridges in the late 19th and early 20th centuries.''",,
980,Arsenal Street Bridge,29.415554,-98.494105,TXBE_EArsenalStSanAntonioR.jpg,tx/bexar/,Texas,Bexar,150150B01410001,1928,,1928,,Pony Truss,Warren polygonal riveted,Eligible for the National Register of Historic Places,103,"S. F. Crecelius (Engineer), Walsh-Burney & Moore (Contractors)",2008,The Arsenal Street Bridge is one of a few similar Warren polygonal pony trusses in San Antonio. Most bridges built in the area in the 1920's were multi-span concrete tee beam bridges instead of single-span truss bridges. The truss bridges are unusual because the ends of the truss are inclined and the center section has a flat top chord.,,
3235,Ash Road Bridge,40.001866,-80.416397,PAWA_TR309RockyRun.jpg,pa/washington/,Pennsylvania,Washington,627210030740220,1903,,1903,,Pony Truss,Pratt riveted (Queenpost),,43,"Nelson & Buchanan Company, Engineers & Contractors",2007,"The 1903 Ash Road Bridge is an early example of a riveted Pratt truss. It can also be classified as a queen post, since there is only one panel between the inclined endposts. The bridge is one of several similar Nelson & Buchanan truss bridges in the county. The bridge underwent a rehabilitation in which channel and cover plates were welded to the top chord. Some of the lower connections have also been welded.",,
2141,Ashcom Road Overpass,40.005224,-78.434427,PABE_AshcomRdOverPATurnpike.jpg,pa/bedford/,Pennsylvania,Bedford,57076990151090,1988,,1988,,Frame,Steel continuous frame,,125 / 227,,2008,"In 1988, a few replacement Pennsylvania Turnpike overpasses were steel frames, such as the Ashcom Road Overpass. After building two or three, the Turnpike Commission decided against the widespread use of this type of overpass.",,
462,Augusta Street Bridge,29.430324,-98.492512,TXBE_AugustaStSanAntonioR.jpg,tx/bexar/,Texas,Bexar,150150B00275001,1890,,1890,,Pony Truss,Lenticular pin-connected,Eligible for the National Register of Historic Places,98,Berlin Iron Bridge Company,2008,"The Augusta Street Bridge is one of San Antonio's three remaining lenticular pony truss bridges. All were built by the Berlin Iron Bridge Company of Connecticut. Other than in Texas, lenticular truss bridges were mostly built in the northeast. The Augusta Street Bridge is an exceptionally nice example, since it retains its decorative finials and it has an artful paint job detailing the bridge's intricate members. In the late 1920's, many bridges over the San Antonio River were replaced as part of a flood control project that involved the creation of the San Antonio River Bypass Channel. All bridges on the main channel and bypass channel south of the Augusta Street Bridge were replaced.",,
2111,Augustine Bridge,39.760952,-75.557023,DENC_AugustineBrBrandywineCr.jpg,de/new_castle/,Delaware,New Castle,1585 049,1980,2002,1980,,Deck Truss,"Warren bolted, cantilever",Last remaining deck truss bridge in Delaware,164 / 826,,2009,"The original Augustine Bridge was completed in 1885 for the B&O Railroad. It was a Pratt pin-connected deck truss with inverted kingpost approaches. As train loads became heavier, the adjacent stone arch was constructed in 1910, and the 1885 bridge was converted to a vehicular bridge. The bridge was closed to traffic in 1979, and the superstructure was replaced in 1980. The original piers remain. The new bridge, a Warren truss, was designed to loosely maintain the appearance of the lost historic bridge. It is the only vehicular deck truss bridge in Delaware.",,
750,Aultmans Run Road Arch Bridge,40.51247,-79.288877,PAIN_AultmansRunRdArchAultmansRun.jpg,pa/indiana/,Pennsylvania,Indiana,327203046000390,1914,ca. 1960,1914,,Arch,Closed spandrel segmental concrete arch,,38,Whittaker & Diehl,2008,"According to the PAHBI, ''The 41'-long, reinforced concrete deck arch bridge built in 1914 has stepped concrete wingwalls, concrete coping, and incised panels near the top of the spandrel walls. One and two high metal pipe railings with plumber fittings were added to the bridge ca. 1960.''",,
1767,Aultmans Run Road Stringer Bridge,40.522445,-79.287558,PAIN_AultmansRunRdStringerAultmansRun.jpg,pa/indiana/,Pennsylvania,Indiana,327203046000070,1940,,1940,,Beam,Steel stringer / multi-beam,,31,,2008,,,
3191,Avonmore Bridge,40.534155,-79.465613,PAWE_Avonmore.jpg,pa/westmoreland/,Pennsylvania,Armstrong,640156004015280,1937,1985,1937,,Thru Truss,Parker riveted with Pratt pony approach,Unusual example of state-designed bridge in which the web consists of rolled H-section members,218 / 571,Pennsylvania Department of Highways,1997,"According to the PAHBI (reviewed by MEM), ''The bridge built in 1937 consists of 2, 215' long, riveted, Parker thru truss spans and a 91' long Pratt pony truss approach span on the south end and 41' long stringer span at the north approach. ...The web members are all composed of rolled section.''",,
3192,Bairdstown Bridge,40.430738,-79.269962,PAWE_SR1016Blairsville.jpg,pa/westmoreland/,Pennsylvania,Indiana,322002001000000,1935,1993,1935,,Thru Truss,Baltimore riveted,Only Baltimore truss in county,290 / 358,"Pennsylvania Department of Highways, Freeland McHale & PA (Contractor)",2002,"According to the PAHBI (MEM Reviewer), ''The skewed, 2-span, 358'-long bridge with a 283' long riveted Baltimore thru truss main span and a thru girder approach span is supported on concrete abutments with wingwalls and a concrete pier. All members of the high capacity truss are built up. The panels are subdivided with a substrut and a hanger to pick up the intermediate floor beam. The plaque states that the first bridge at this crossing was placed in 1823. This is the fourth bridge.''",,
2847,Bairs Mill Road Bridge,40.014119,-76.548059,PAYO_BairsMillRdKreutzCr.jpg,pa/york/,Pennsylvania,York,667212077330640,1893,1954,1893,,Thru Truss,Pratt pin-connected; modified to be continuous in 1954,Eligible for the National Register of Historic Places,43 / 87,Wrought Iron Bridge Company,2010,"The Bairs Mill Road Bridge (York County Bridge No. 64) has been listed in PennDOT Cultural Resources' Bridge Marking Website since 2003. The bridge is to be demolished in 2011. PennDOT's Bridge Marketing website gives the following information about the bridge: ''York County Bridge No. 64 carries T-773 (Bair's Mill Road) over the Kreutz Creek, in Hellam Township in eastern York County, Pennsylvania. York County Bridge No. 64 is a single-lane, two-span (originally single-span) pin-connected iron Pratt through-truss bridge measuring 26.5 meters (87 feet) long. The curb-to-curb width of the bridge measures 3.81 meters (12.5 feet) wide. In 1993, York County Bridge No. 64 was determined eligible for listing in the National Register of Historic Places as a contributing feature in the (ca. 1878) Strickler's (Bair's) Mill Rural Historic District. The Wrought Iron Bridge Company of Canton, Ohio constructed York County Bridge 64 in 1893. The bridge is a good (albeit altered) example of a pin-connected wrought iron Pratt Through-truss Bridge. Pratt trusses were a bridge type popular in the mid-19th and early 20th Centuries for their ease of shop prefabrication and subsequent construction in the field, and for their weight-bearing capabilities. Bridge No. 64 replaced a ford used since 1821 at this location. The bridge is an altered example, but one of only five remaining wrought-iron pin-connected Pratt Through-truss bridges constructed by the Wrought Iron Bridge Company in York County. Records indicate conversion to a two-span structure by addition of a concrete center pier in 1954. Deteriorated stringers were replaced, the wooden deck was replaced with an open steel grate, and the steel guiderails were also installed in 1954. In 1993, York County Bridge No. 64 was determined eligible for listing in the National Register of Historic Places as a contributing element to the Strickler's (Bair's) Mill Rural Historic District. The bridge is slated for replacement, because a one-lane height-restricted bridge is functionally obsolete for vehicular traffic at this location.''",,
